subject,body,label
Foreign debit notification,"Dear customer Your card has been used for an online payment in the totalamount of R6,092.71 at ""Shezan Limited"" Because thistransaction was conducted from pakistan, we declined the transaction and temporarily deactivated your card. To reactivate your card please login hereand complete theStandard Banksecurity measures. No matter where you are, our fraud systems will monitor your account for suspicious and unauthorized transactions. Please keep your contact information up-to-date in the My Profile section of Online Banking in case we need to reach you. Regards Elite Banking Team Copyright Standard Bank. All rights reserved.Standard Bank of South Africa Limited (Reg. No. 1962/000738/06). Authorised financial services provider. Registered credit provider (NCRCP15).Disclaimer and confidentiality note:Everything in this email and any attachments relating to the official business of Standard Bank Group Limited is proprietary to the group.It is confidential, legally privileged and protected by law. Standard Bank does not own and endorse any other content.The person addressed in the email is the sole authorised recipient.Please n  otify the sender immediately if it has unintentionally reached you and do not read disclose or use the content in any way.Standard Bank cannot assume that the integrity of this communication has been maintained nor that it is free of errors, virus, interception or interference.For ourprivacy policyor information about the Standard Bank group visit our website atwww.standardbank.co.za.",phishing
From : Nicholas Mavis," From : Nicholas Mavis
Abidjan Ivory coast
TEl: +225 0723 6068
private email : (nicholas_mavis8@yahoo.co.jp ) 



APPEAL FOR URGENT ASSISTANCE.

Dear

With due respect and with God all thing were possible that is why I call for help to please Permit me to inform you of my desire of going into business relationship with you. 
I am Nicholas Mavis the only son of late Mavis Radci, My father was a very wealthy cocoa merchant in Abidjan the economic capital of Ivory coast, my father was poisoned to death by his business associates on the first of January 2004 on their outing for the new year celebration.

My mother died when I was a baby and since then my father took me so special. 
Before the death of my father on january 2004 in a private hospital here in Abidjan he secretly called me on his bed side and told me that he has the sum of 9 million United State Dollars. US(9.m) left in fixed /suspense account in one of the prime bank here in Abidjan that he used my name as his only son for the next of Kin in Depositing of the fund. 
He told me that I should seek for a foreign partner in a country of my choice where i will transfer this money into and use it for investment purpose such as real estate management or hotel management and also for orphanages, helping the widows, propagating the word of God and to endeavour that the house of God is maintained and building companies where poor God people can work and have their daily feedings with their families. 
I pray to God to grant you more blessing to your business and for making up your mind that you will be doing this for the denefit of the people who are in need. i know that God will see you through. 
I am honourably seeking your assistance in the
following ways:

(1) To provide a new bank account in where this money
would be transferred into. 
(2) To serve as a guardian of this fund since I am
only 22 years old. 
(3) To make arrangement for me to come over to your
country to further my education and to secure a
resident permit in your country. 
Moreover, I am willing to offer you 25% of the total sum as compensation for your effort/input after the successful transfer of this fund into your nominated account overseas. 
All the necessary arrangement has been made at the bank where my late father deposited this money and the Director of the bank told me that as soon as an account of my choice is forwarded to their bank that
they will transfer this money to my destination. Please RING me immediately you received this mail on my direct line 225 0723 6068 for us to proceed in this transaction which I beleived that in few days you shall call me for good news that you have comfirm my money in an account which you will provide. 
Furthermore, you indicate your options towards
assisting me as I believe that this transaction would
be concluded within (3) days you signify
interest to assist me.

Anticipating to hear your voice immediately.
Thanks and God bless you.
Best regards,

Nicholas Mavis
. 
All the relevants documents which my late father used in deposting of this money will be sent to you immediately I hear from you for more confirmation and trust and confidence in this transaction.

PLEASE GET BACK TO ME ON MY PRIVATE EMAIL /

(nicholas_mavis8@yahoo.co.jp ) 






",phishing
re : 2001 headcount information,"dawn :
i am resending this - i forgot the staffing summary by location .
sorry !
- - - - - - - - - - - - - - - - - - - - - - forwarded by shirley crenshaw / hou / ect on 07 / 07 / 2000
03 : 03 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
dawn derr @ enron
07 / 07 / 2000 10 : 45 am
to : shirley crenshaw / hou / ect @ ect
cc :
subject : re : 2001 headcount information
shirley ,
get it to me as soon as you can . thanks .
dawn
shirley crenshaw @ ect
07 / 07 / 2000 09 : 11 am
to : dawn derr / corp / enron @ enron
cc :
subject : re : 2001 headcount information
dawn :
i apologize , i have not been able to pin vince down . however , he did take
it with him this morning ( he will be in prc meetings all day . ) and i told him \\
you needed it yesterday .
i hope it is not too late . let me know .
thanks
shirley
dawn derr @ enron
07 / 05 / 2000 04 : 09 pm
to : shirley crenshaw / hou / ect @ ect
cc :
subject : 2001 headcount information
shirley ,
i need the headcount information for vince ' s group no later than thursday ,
july 6 . let me know if this is a problem .
dawn",legitimate
Alerta Patagonia e-BanK,"Fecha: 29/03/2020 Estimado Cliente: Como parte de nuestras medidas de seguridad,  examinamos periódicamente la actividad del sistema Patagonia E-Bank. Durante una reciente investigación, hemos observado un problema de su cuenta en linea. Para evitar la suspensión de la misma y de otros servicios provistos por Patagonia E-Bank.  le pedimos activar nuevamente su cuenta. Le solicitamos que haga clic en la dirección Web  remarcada en azul en la parte inferior de este mensaje y verifique sus coordenadas. Haga clic aquí Manuel Gonzales. Departamento de seguridad web. Banco Patagonia.   Copyright 2020 Banco Patagonia Todos los derechos reservados.",phishing
"reminder : real time interview today - - jake arnold ( 9 am , adams )","jake arnold is scheduled to interview for the real time position today , at 9 am in mt . adams . please see the schedule below for more information :
9 : 00 am - amy fitzpatrick
9 : 45 am - bill williams iii
if you have any questions , let me know !
thanks ,
grace
x 8321",legitimate
MUTAUL BUINESS RELATIONSHIP,"DEAR SIR/MADAM,
MY NAME IS ENGINEER. TONY EDEM THE DIRECTOR GENERAL WITH THE MINISTRY OF WORKS AND HOUSING HERE IN NIGERIA. I WISH TO EXTENT THIS BUSINESS RELATIONSHIP TO YOU WITH THE HOPE THAT YOU WILL ACCEPT IT. IN THE YEAR 1999, MY MINISTRY AWARDED A CONTRACT TO A FOREIGN FIRM FOR BUILDING OF 620 HOUSING ESTATE AND CONSTRUCTION OF A STADIUM IN ABUJA THE NEW CAPITAL TERRITERY MEANT FOR THE CONCLUDED ALL AFRICAN GAMES WHICH NIGERIA HAVE HOSTED BY OCTOBER THIS YEAR.
DURING THE TIME OF AWARDING THIS CONTRACT, MYSELF AND SOME TOP MEMBERS OF CONTRACT AWARDING COMMITTEE AGREED AND OVERINVOICED THE VOLUM OF THE CONTRACT WITH ADDITIONAL SUM OF $21 MILLION U.S.A DOLLARS, WHICH WAS MEANT TO TAKE CARE OF US.AS AT LAST YEAR, THE CONTRACTOR HAD COMPLETED THE PROJECT AND FULLY PAID.
FOR NOW THE OVERINVOICED SUM OF $21 MILLION U.S. DOLLARS IS WITH THE CENTRAL BANK OF NIGERIA. AND MYSELF AND PARTNERS HAVE ALSO COMPLETED ARRANGMENT WITH TOP OFFICIAL OF THE BANK ON HOW TO RELEASE THIS MONEY, BUT FOR THE FACT THAT THE ORIGINAL CONTRACTOR WAS A FOREIGNER WE ARE NOW LOOKING FOR A FOREIGN PARTNER WHO WILL ASSIST US BY GIVING US ANY BANK ACCOUNT OF HIS/HER CHOICE TO ENABLE US ACCOMPLESH THIS BUSINESS.
BASED ON THIS IAM NOW SOLICITING FOR YOUR KIND HELP TO GET THIS MUTUAL BUSINESS GO THROUGH.WHAT I NEED FROM YOU IS AN ACCOUNT WHERE THIS MONEY WILL BE TRANSFERED INTO. EVERY ARRANGMENT HAVE BEEN PUT IN PLACE TO MAKE SURE THE BUSINESS RUNS SMOOTHLY. TO THIS END, THE BUSINESS IS 100% RISK FREE. IN YOUR ACCEPTANCE
REPLY, WE SHALL NEGOTIATE THE PERCENTAGE THAT WILL BE GIVEN TO YOU FOR ASSISTING US.
I LOOK FORWARD FOR YOUR KIND AND IMMEDIATE RESPONSE.
YOU CAN ALWAYS REACH ME WITH THE ABOVE EMAIL ADDRESS OR MY ALTERNATIVE EMAIL ADDRESS: engrtonyedem@yahoo.com WITHIN THE PERIOD OF 5 WORKING DAYS.
YOURS SINCERELY
ENGINEER. TONY EDEM
EMAIL: engrtonyedem@tiscali.co.uk OR engrtonyedem@yahoo.com
Freeserve AnyTime - HALF PRICE for the first 3 months - Save £7.50 a month 
www.freeserve.com/anytime",phishing
GOOD DAY,"
Dear Sir,
 
With due respect, trust and humility, I write you this
proposal believing that it will receive the most
desired attention from you even as we have not had any
previous correspondence, Although, I am constrained by
insufficient information about you, but I will express
in full the main objectives of this proposal .
 
I am Mr.CHRIS ANDERSON Personal Aide and in-law to the
former President of the Liberian Mr. Charles Taylor,
who resigned his post due to pressure from the
International Community in order to maintain peace in
west African Region. His Excellency who is currently
behind bars at a U.N.-backed court in Hague
Netherlands, facing 11 counts of war crimes during the
country's 1991-2002 civil war. Liberian Government In
conjunction with Sierra Leone Government has agreed on
June 20, 2006 for security reason to Hand him over to
U.N War crime Special Court in Hague, Netherlands.
 
His Excellency who was arrested on a boarder between
Nigeria  and Cameroun of which he instructed me to
escape with all his vital documents so that he could
face a U.N.-backed tribunal for war crime charges
which he is now currently facing. but before this new
unfolding events. Though our original plan was after
successful crossing to Cameroun un-noticed, I will
proceed to Accra Ghana totake the task of arranging
for the immediate evacuation of the money in whish he
deposited in the custody of Security Finance Company
before it will be discovered by International
Community or Liberian Government.See the website for
more details

http://jurist.law.pitt.edu/paperchase/2006/03/breaking-news-charles-taylor-captured.php
http://news.bbc.co.uk/1/hi/world/africa/2963086.stm
http://www.cnn.com/2006/WORLD/africa/03/29/taylor.nigeria/index.html
http://somalinet.com/news/world/Africa/10893
 
His Excellency, while in jail has mandated me to
secure the co-operation of a trust worthy and reliable
firm or individual as fund managers to whom he will
entrust certain amount of money to be managed within
the period while he is in jail, on the terms as shall
be agreed by both parties. The new government in
Liberia lead by Mrs. Ellen Johnson-Sir leaf has
initiated moves to probe Mr. Taylor�s governance while
in office with a view of recovering his assets and
deposits and repatriating such to the country as was
the case with the Late Head of State of the Federal
Republic of Nigeria, Gen. Sanni Abacha as advised by
the International Community on Liberian Government.
 
On the wake of hostilities in Liberia and the break
out of war between the rebels and the allied forces,
the Liberian government being under an arms embargo by
the U.N could not import arms officially, so Mr.
Taylor resolved to illegal arms deal from the West
African Region of Ghana, which was transacted by cash
monies, within this period, he succeeded in depositing
a total sumof USD$115M only, in cash money derived
from the arms dealing custody of Security Finance
Company in Accra Ghana. Which is the trust company
from where the arms deal was financed?
 
we intends to execute a deed of conveyance of this
deposit to a capable and trust worthy firm or
individual who will immediately effect a change of
beneficiary on the deposit and release it from the
custody of Security Finance Company by way of
terminating the deposit contract to avoid any trace
and repatriation of the deposit by the new government
in Liberia.
 
Terms of the transaction shall be discussed and
agreement entered into when you indicate your ability
to handle and manage funds of this magnitude under a
strict confidential understanding..
Please treat as most confidential due to the sensitive
information given in here strictly to you.
 
Yours sincerely
CHRIS ANDERSON
Personal Aide to the former Liberian President





",phishing
re : list of topn 50 counterparties,"here is a start on the list . we have a meeting with ubs in the am to review as well . obviously , i am putting limits that we would be willing to extend from a credit perspective only . taking into account liquidity and commercial drivers may adjust these numbers . let me know if you would like to discuss .
regards ,
bill
- - - - - original message - - - - -
from : kitchen , louise
sent : thursday , january 03 , 2002 3 : 43 pm
to : bradford , william s .
subject : fw : list of topn 50 counterparties
- - - - - original message - - - - -
from : kitchen , louise
sent : thursday , january 03 , 2002 3 : 42 pm
to : ' richard . a . stuckey @ ssmb . com '
subject : list of topn 50 counterparties
aquila
aep
dynegy
duke
reliant
mirant
coral
sempra
cook inlet energy supply l . l . c .
el paso
williams
texaco natural gas inc .
transcanada
entergy - koch
bp energy company
cinergy
midamerican energy company
el paso merchant energy - gas , l . p .
pg & e energy trading - gas corporation
bp corporation north america inc .
tenaska marketing ventures
enserco energy , inc .
calpine
utilicorp united inc .
constellation power source , inc .
conectiv energy supply , inc .
tractebel energy marketing , inc .
energyusa - tpc corp .
e prime , inc .
cms marketing , services and trading company
koch energy trading , inc .
txu energy trading company
j . aron & company
oneok energy marketing and trading company , l . p .
engage energy canada l . p .
nexen marketing
hess energy
pancanadian energy services inc .
mieco inc .
cargill energy , a division of cargill , incorporated
morgan stanley capital group inc .
virginia power energy marketing , inc .
oge energy resources , inc .
allegheny energy supply company , llc
pg & e energy trading - power , l . p .
idacorp energy l . p .
pseg energy resources & trade llc
texla energy management inc .
avista energy , inc .
coastal merchant energy , l . p .
louise kitchen
chief operating officer
enron americas
tel : 713 853 3488
fax : 713 646 2308",legitimate
I sincerely write to seek your co-operation and trust.,"I sincerely write to seek your co-operation and trust.
>From the desk of 
Mr.Donatus Okobi, 
Email ;donatus_okobi@excite.com 
Senior manager, 
Bills and Exchange, 
Nill Bank of Nigeria PLC, 
Lagos, Nigeria. 

Reply To: donatus_okobi@excite.com 

Attn:  
Dear Friend, 

I sincerely write to seek your co-operation and trust to enable my 
colleagues and I carry out an urgent business opportunity in my 
department. 

I work with the Nill Bank of Nigeria PLC; currently I am the senior 
manager of bills and exchange at the foreign remittance department of 
my bank. I was the account officer to one Mr. Ali B. Ashan who died 
along  with his family on the 8th of November 1997 in an ADC Boeing 727 
plane crash at Egirin River. All 141 passengers on board were feared 
dead. 

He left in his domiciliary account the total sum of $25.5m,{Twenty 
Five  million, five hundred thousand USA Dollars}. Since the management 
got  the information of his death we have been expecting any of his 
relation 
or his next of kin to come up and claim his money. 

Unfortunately, From the day of his death till the time of this letter  
none of his relation or friends has come up for the claim.The banking  
and financial law of Nill Bank of Nigeria PLC stipulates that if such  
fund remained unclaimed after a period of (7)seven years, it will be 
transferred into the bank treasury as unclaimed bill. On this discovery 
sir, I and two other senior staffs now decided to do business with you 
and  release the money to you as the next of kin to Mr. Ali B. Ashan 
for  safety and subsequent disbursement. I will soon proceed for my 
retirement  leave this year, and I personally do not want this fund to 
be  transferred into the bank treasury as unclaimed bill. That is why I 
wanted the 
fund to be move out of the bank before I proceed on my retirement from 
the banking services by December 15th 2005. 

The need for a foreigner as next of kin in this project is occasioned  
by the fact that the customer Mr. Ali B. Ashan was a foreigner and a  
Nigerian cannot stand as his next of kin or heir. We have agreed that 
30%  of the Fund would be for you as foreign partner; thereafter my 
colleague and I will visit your country for disbursement according to 
the 
percentages indicated. 

To enable the immediate transfer of the fund into your nominated 
account, you will first apply to the bank as the next of kin of the 
deceased, indicating your bank account number and location where in the 
money will be remitted. Upon receipt of your acknowledgement indicating 
your interest, I will send to you the text of the application that you 
will  send to the Nill Bank of Nigeria PLC authority for an approval to 
submit  your claims. Send your reply through my direct and Private: 
donatus_okobi@excite.com  

Indicate your direct Fax and telephone numbers for effective 
communication that this transaction needs. Do not reply through the 
Nill Bank email address because it's belonged to the senior staffs for 
public use. 

Please note that you are not to appear in person, as everything 
regarding this project will be strictly on documentations and every 
banking  documents needed for this transaction will be taken care of by 
myself. 

Looking forward to urgently hearing from you. 

Yours Faithfully, 
Mr.Donatus Okobi
PLEASE REPLY ME ON MY ALLTERNATIVE EMAIL:donatus_okobi@excite.com


",phishing
self evaluation - short version,"please let me know if you need anything else .
regards ,
eugenio",legitimate
tw / conoco at wt - 1,"this is to respond to your question on tw / conoco at w - 1 . if conoco has a line close to wt - 1 or they are able to tie to wt - 1 , i would recommend that they should tie their line to discharge side of the wt - 1 compressor station and not to the suction . a similar case was recommended to duke a couple of months ago . the line pressure at discharge side of wt - 1 is 1008 psig .
mansoor",legitimate
txu nom . s for 10 / 11 / 00,"attached please find the txu fuel nominations for wednesday , oct . 11 , 2000 .
( see attached file : hpll 011 . xls )
- hpll 011 . xls",legitimate
"MADAME MELIKA DIOUF, VEUILLEZ LIRE TRES ATTENTIVEMENT CE MESSAGE","Je suis Madame Dera Ne Melika Diouf, directrice chargs des factures et 
changes exterieurs de la B.O.A ( BANK OF AFRICA).BURKINA FASO.
Je suis marie et mre de trois enfants,age 41 ans.
Dans mon departement, j'ai decouvert une somme abandonne d'une valeur de 
14.500 000 $  US (QUATORZE MILLIONS CINQ CENT MILLES DOLLARS USA) dans un 
compte appartenant  un de nos clients trangers qui a eu la mort avec toute 
sa famille dans un crash d'avion en 2000.

Depuis que nous  avions obtenus les informations sur  sa mort, nous nous 
attendions  ce que ses proches parents ou sa proche relation viennent 
rclamer largent. Malheureusement jusquaujourdhui aucune manifestation. 
Dans ses cas figurent,en conformit avec les lois et reglements interieurs 
des operations bancaires de la boite,stipulent que,si une telle somme 
restait,sans aucune manifestation quelconque d'un proche,six annes 
aprs,ladite somme est transfere dans le tresor de la banque,comme etant un 
fond non reclam.

Suite  cette dcouverte j'ai dcide de vous faire  cette proposition 
d'affaire, afin de pouvoir librer l'argent.Dautant Puisque personne ne 
vient la rclamer , je propose que vous vous dclarer   la banque comme 
etant un parent ou une proche relation de la famille defunte.
Si nous tombons daccord,45% de la somme sera  vous,les 5% servirons aux 
frais occasionnant les operations du transfert,et les 50% serons  moi.

Par consquent, pour permettre le  transfert immdiat de ces fonds,il vous 
faut ouvrir  votre nom, un compte bancaire si vous n'a n'aviez pas,ensiute 
vous devez adresser une lettre  la banque comme etan un proche parent de la 
famille dfunte comme suit:

- le nom de votre banque,
- votre numro de compte bancaire,
- votre numro de fax et de tlphone priv

 la rception de votre rponse, je vous enverrai  par fax ou par mail le 
formulaire de la lettre d'application que vous allez remplir et envoyer  
l'adresse de la banque. Je porte   votre connaissance que  cette 
transaction ne comporte aucun risque car toutes les dispositions seront 
prises,dautant puisque moi-meme je suis un membre influent de la banque.
Au cas o vous aurez besoin d'informations concernant ma 
proposition,n'hesitez pas, je serai  votre entire disposition jusqu' la 
fin de l'operation.
Si j'ai un conseil  vous donner,c'est d'etre tres discret,car seule dans la 
discretion que nous pourrions reussir.
Vous voyez ces sommes n'ont jamais et utilises comme il se doit.Les 
premiers responsables les acheminent  d'autres fins.
Dans lattende de votre prompte raction, je vous prie cher 
monsieur,l'expression de ma trs haute considration

Madame Dera Ne Melika Diouf.
E-MAIL: melika_der_diouf@yahoo.fr

_________________________________________________________________
MSN Messenger: appels gratuits de PC  PC ! 
http://www.msn.fr/newhotmail/Default.asp?Ath=f



",phishing
Dhl Shipment Arrival Notification ,"Dear Customer,  Your DHL parcel arrived at our post office since 5th June 2017. FF  Our courier was unable to deliver the parcel to you due to incorrect delivery details. FF  To receive your parcel, download attached receipt to view parcel details. FF  We apologize for the stress and delay in delivery.     NOTE: Due to network issue, please if you receive the message in   spam/ junk folder, FF FFkindly move to inbox to enable you download the attached file.     DOWNLOAD ATTACHMENT  Dhl Online Notification @ 2017. Dear Customer, Your DHL parcel arrived at our post office since 5th June 2017. ﻿ Our courier was unable to deliver the parcel to you due to incorrect delivery details. ﻿ To receive your parcel, download attached receipt to view parcel details. ﻿ We apologize for the stress and delay in delivery.   NOTE: Due to network issue, please if you receive the message in  spam/ junk folder, ﻿ ﻿kindly move to inbox to enable you download the attached file.   DOWNLOAD ATTACHMENT Dhl Online Notification @ 2017.",phishing
RE: IT Administrator,IT Administrator desk: has currently upgraded our mailbox service quote to 150GB space Faculty/Staff are hereby advice to click on WEBMAIL  to be fully upgraded to our new mailbox space.,phishing
mg intergration,"there are clearly a large number of people who need to know what is happening
on the integration of the mg metals business and a large number of fluid
teams working on different aspects of the project ; however , most issues
related to the integration process will only be of interest to a subset of
the people involved .
we currently have two main forums for information sharing available to
members of the integration team :
the weekly newsletter produced by fiona grant in pr , which from 30 june
onwards will be sent to eel management and the heads of those departments
represented on the integration team .
a weekly meeting on friday mornings from 8 am to 9 am in nwl 006 , which has been
put in place to provide team leaders with an opportunity to update the entire
integration team on their top two or three issues for the past and / or coming
week .
for now , i expect the weekly update and the weekly meetings to meet the
information needs of the integration team . if you feel this is not adequate ,
then let either myself or fiona grant know and we ' ll do a re - think on the
subject .
to this end , and in the interests of ensuring that we conclude our discussion
in the allotted time , the following are a few organisational points i would
like everyone to bear in mind when attending the friday morning meeting :
attendees should distinguish between presenters and audience at the weekly
meeting .
presenters should attend if at all possible and , in the event they are unable
to attend , should nominate a replacement for the meeting ( replacements should
be notified to esther gerratt in advance of the friday morning meeting if
possible ) .
for the time being , presenters and their designated areas are :
- eric gadd commercial and acquisition progress
- amita gosalia eol
- justin boyd legal
- toby knight premises
- barry sangster it infrastructure
- bob campbell it applications
- richard sage middle and back offices and project management
- lloyd fleming rac
- tim davies credit
- anne edgley finance
- anne hicks cash management
- janine juggins tax
- andrea kerch us gaap and due diligence
- nigel sellens hr
- fiona grant pr
- bruce garner business development
as this is intended to be an "" update "" - only meeting , any unresolved
substantive issues are to be taken off - line and the resolution reported the
following week .
lastly , i would request that presenters focus on communicating , in an
efficient manner , things which affect other functions within the integration
process . doing so will assit other presenters in relaying the information
presented at the meeting to other personnel in their respective areas .
i hope you find this useful . we want to keep the information flowing as we
continue the integration process , but at the same time we need to make sure
we use our time wisely and efficiently .
regards ,
eric",legitimate
fw : mscf speaker series - november 3 rd confirmation,"- - - - - original message - - - - -
from : pierre - philippe ste - marie
to :
sent : monday , september 11 , 2000 8 : 13 am
subject : mscf speaker series - november 3 rd confirmation
> dear mr . kaminski ,
>
> it is a great pleasure and a great honor to schedule you on the mscf
> speaker series list for november 3 rd , i will make reservation for 8
persons
> at a restaurant in pittsburgh for that evening . also , if you want i can
book
> an hotel for you .
>
> let me know if you have anything in mind for the topic of the
presentation .
> there is no real guidelines as we like our speakers to have as much room
as
> possible . here is one of the past presentations that had an impact . one of
> our speakers divided the presentation in two , the first part was
technical ,
> the second was more general , explaining what his firm was looking for when
> hiring new employees .
>
> thank you very much for accepting our invitation .
>
> sincerely ,
>
>
>
>
> pierre - philippe ste - marie
> - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
> pstemarie . homestead . com
>",legitimate
MXHSUHSSX EMAIL VALIDATION REPORT AT 6/28/2020,"BLOCKED INCOMING MESSAGES  	    	      	    	               This message(s) below have been blocked by your administrator due to validation error    There are new messages in your Email Quarantine since you have Quarantine notification,  messages will be automatically removed from quarantine after 7 day(s)    To see all quarantined messages view your email quarantine 	      	    	              VIew My Message(s) 	     	              	     	               Note: This message was sent to jose@monkey.org by the system to by notification only. Please do not reply. 	      	    	      	      BLOCKED INCOMING MESSAGES This message(s) below have been blocked by your administrator due to validation error There are new messages in your Email Quarantine since you have Quarantine notification, messages will be automatically removed from quarantine after 7 day(s) To see all quarantined messages view your email quarantine VIew My Message(s) Note: This message was sent to jose@monkey.org by the system to by notification only. Please do not reply.",phishing
broker client,"louise ,
kevin presto has some concerns about doing transactions with brokers and is thinking maybe on the power side that we will not do any broker transactions either over the telephone or online and he would like to talk about his ideas with you and the gas guys as well .
i won ' t start marketing to brokers until i hear from you or we meet on the subject .
do you want me to organise a meeting ?
dave",legitimate
TREAT VERY CONFIDENTIAL & URGENT RESPONSE.,"

>From The Desk Of Ben Coroma.
The Head Of File Department,African Development Bank (A.D.B).Ouagadougou Burkina-Faso West Africa . 
PLANE CRASH WEB SITE...http://news.bbc.co.uk/1/hi/world/europe/859479.stm.                          (""REMITTANCE OF $15 MILLION U.S.A DOLLARS                                   CONFIDENTIAL IS THE CASE"")
 
Compliments Of The Season,
     Forgive my indignation if this message comes to you as a surprise and may offend your personality for contacting you without your prior consent and writing through this channel.I got your contact from the proffesional data base found in the internet Yahoo tourist search.When i was searching for a foreign reliable partner.I assured of your capability and reliability to champion this business opportunity.
 
     After series of prayers/fasting.i was divinely directed to contact you among other names found in the data base Yahoo tourist search.I believe that God has a way of helping who is in need.
 
   I am (Ben Coroma),the Head of file Department in African development bank (ADB).
In my department we discovered an abandoned sum of $ 15 million U.S.A dollars ( fifteen million U.S.A dollars) . In an account that belongs to one of our foreign customer who died along with his entire family in (Monday 31st July 2000) in a plane crash. Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for it as next of kin or relation to the deceased as indicated in our banking guidelines, but unfortunately we learnt that all his supposed next of kin or relation died along side with him at the plane crash leaving nobody behind for the claim. It is therefore upon this discovery that I and one official in my department now decided to make this business proposal to you and release the money to you as the next of kin or relation to the deceased for safety and subsequent disbursement since nobody is coming for it and we don’t want this money to go into the bank treasury as unclaimed bill.The Banking law and guideline here stipulates that if such money remained unclaimed after eight years, the money will be transferred into the Bank treasury as unclaimed fund. The request of foreigner as next of kin in this business is occasioned by the fact that the customer was a foreigner, and a Burkinabe cannot stand as next of kin to a foreigner. We agree that 30% of this money will be for you as foreign partner, in respect to the provision of a foreign account, 10% will be set aside for expenses incured during the business and 60% would be for me and my woman colleague. There after i will visit your country for disbursement according to the percentages indicated. Therefore to enable the immediate transfer of this fund to you as arranged, you must apply first to the bank as relations or next of kin of the deceased indicating your bank name, your bank account number, your private telephone and fax number for easy and effective communication and location where the money will be remitted.Upon receipt of your reply, I will send to you by fax or email the text of the application I will not fail to bring to your notice that this transaction is hitch free and that you should not entertain any atom of fear as all required arrangements have been made for the transfer. You should contact me immediately as soon as you receive this letter. Trusting to hear from you immediately. Your’s faithfully,  Ben Coroma.
FROM (ADB) OUAGADOUGOU BURKINA-FASO.
GOD BLESSINGS,PROTECTIONS AND GUIDIANCE TO YOUR ENTIRE FAMILY. 
 
         (FILL THIS FORM BELLOW PLEASE AND RESEND IT TO ME).
 
1) Your Full Name.............................
2) Your Age.......................................
3) Marital Status................................
4) Your Cell Phone Number…………..
5) Your Fax Number………………..... 
6) Your Country………………..............
7) Your Occupation............................
8) Sex................................................
9) Your Religion.................................
10) Your Private E-mail Adress...........
 
POST SCRITUM:You have to keep everything secret as to enable the transfer to move very smoothly in to the account you will prove to the bank.As you finished reading this letter call me immediately so that we discuss very well over this business.
_________________________________________________________________
Express yourself instantly with MSN Messenger! Download today it's FREE!
http://messenger.msn.click-url.com/go/onm00200471ave/direct/01/",phishing
Investment / Assistant,"Greetings,

I got your contact in my searching of a good reputation foreign partner to
assist me in my late husband properties. My late husband was former
district leaders of the diamond city call KENNEMA and an executive member
of the Diamond Mining Association in the Republic of Sierra-Leone.

He was massacred by the president TEJAN KABBAH force in their struggle to
reinstate him back to power, before his death he disclosed to me that he
deposited two trunk boxes contain sum of US$18.2 Million in a Security
Company in Accra, Ghana, in a neighboring country in West Africa, after
all, I had gave the Security Company a call and was confirmed that the
boxes are intact.

I decide to solicit for your kind assistance to help me and my two
children invest these funds on our behalf the sum of US$18.2 Million (and
to deposit 20kg of Gold Alleviate in your Bank for us.) in your Business
Venture for a long term and pay us monthly on an agreeable terms to be
worked out later.

Our lives and future of my two children depends on these funds and as
such, I will be grateful if you can assist us. I am seeking your
assistance to invest this fund out of   Africa for investment purpose.

I want you to come on board help clear this money from the deposit
company, open an account on your name, and transfer the funds to your
designated account in your country.

Why I also want you is that my husband specifically put it in his will and
advice me that I must consult a foreign partner to assist me to move the
funds out of Africa, I think was to save as a check on my part so that I
would not loose the money, as this is the only money left for the success
of my two children in this generation.

What I demanded from you is to assure me the safety of this money when it
finally gets to you.. Further information and arrangement will commence as
soon as trust, confidence and good relationship is established. I shall be
most grateful if you could maintain this high level of confidentiality I
repose on you concerning this matter.


My health is not in good shape now, because am hypertension patient and I
need your help as quick as you can please.

Please reply me through my email address.

Thanks for your personal consideration.

Yours Sincerely,

Mary Manto


",phishing
